Lost Messages;0;2;6;2;0;0;0;0;0;0;0;4;0;4;0;4;3;0;0;0
Median Latency (ms);485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485
Worst Latency (ms);4750;5150;5725;5135;4800;5575;4790;4785;5490;5735;5535;6630;5755;4745;4780;6065;5230;4790;5525;5725
Best Latency (1%) (ms);10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Expected Messages;1327622;1326628;1326741;1332162;1329850;1329343;1330166;1325379;1331692;1329395;1328099;1329630;1330735;1330273;1331255;1331962;1329846;1332245;1331949;1328517
Average Latency;540;540;539;541;541;541;540;540;540;540;540;540;540;540;540;541;541;541;541;540
Received Messages;1327415;1326425;1326489;1331849;1329644;1329115;1329977;1325170;1331464;1329167;1327908;1329412;1330510;1330052;1331085;1331738;1329654;1332004;1331750;1328316
Standard Deviation (ms);411,41098672738434;411,8616272487642;410,6860114491362;412,26447821756364;412,4803025600132;413,757175164371;410,2194534636308;413,411417355641;411,8859065323794;412,3699795086931;411,3648016055822;411,98786389892604;410,9197001848415;410,4302620421647;411,8507011041744;412,94309535334287;412,84864054517607;412,775968292729;414,5069360095196;411,02311370530003
Messages (CSMA);104983;106814;106370;107800;105013;105797;105800;105956;106191;105240;105581;105401;106048;106352;106817;105636;105810;106475;106513;106373
Collisions;243005;242850;243008;242580;243370;242836;242872;242893;242939;242976;242936;243089;242802;242582;242916;243182;242960;243016;242784;243182
Best Latency (ms);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Average Latency (middle 98%) (ms);540;540;539;541;541;541;540;540;540;540;540;540;540;540;540;541;541;541;541;540
Worst Latency (1%) (ms);1880;1880;1875;1880;1880;1885;1875;1885;1880;1880;1880;1880;1880;1880;1880;1880;1885;1880;1885;1880
