Lost Messages;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Median Latency (ms);485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485;485
Worst Latency (ms);5620;4800;5495;6335;6485;5590;5760;4795;5570;5635;5380;5755;6635;6410;4800;5750;6500;5550;5720;6650
Best Latency (1%) (ms);10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Expected Messages;1329998;1331576;1330536;1327437;1330655;1329636;1332189;1330261;1327546;1328534;1328034;1331150;1327040;1328318;1330959;1332702;1330866;1329471;1327994;1329467
Average Latency;541;542;542;540;540;539;541;538;540;540;539;541;541;540;541;541;540;540;540;541
Received Messages;1329780;1331349;1330324;1327223;1330449;1329437;1331962;1330011;1327323;1328334;1327866;1330970;1326776;1328123;1330753;1332462;1330675;1329189;1327742;1329278
Standard Deviation (ms);413,12346822711487;413,08836827003495;415,26617969683014;412,8195731793734;410,7468806941813;411,6673414299463;413,32432785888614;409,2798553557211;412,2499241964758;413,0230017807725;410,73592489578994;413,5698248180106;413,4827686857096;410,96715197202803;411,65641012864114;414,35492032797197;412,93583036592986;411,6491224331712;411,60660830458005;413,757175164371
Messages (CSMA);106243;212082;317595;423500;529347;636061;741079;847292;953937;1060993;1168441;1274657;1380364;1486910;1592979;1699046;1804452;1911193;2016341;2121854
Collisions;243171;243015;243015;242879;243187;242569;243331;243092;243033;242655;242694;242958;242888;242942;242978;242585;243042;243194;242720;242871
Best Latency (ms);5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5
Average Latency (middle 98%) (ms);541;542;542;540;540;539;541;538;540;540;539;541;541;540;541;541;540;540;540;541
Worst Latency (1%) (ms);1880;1880;1890;1880;1875;1880;1885;1875;1880;1885;1880;1880;1885;1875;1875;1885;1880;1875;1880;1885
